oid,gps,location
10000,"24.173015594482,120.67825317383),(24.173063278198,120.67821502686",台中市
10003,"(24.173034667969,120.67824554443)",台中市
10004,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
10005,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,24.17303276062,120.67823791504,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
10007,"(24.173065185547,120.67821502686)",台中市
10011,"(24.173065185547,120.67821502686)",台中市
10012,"(24.173034667969,120.67824554443)",台中市
10014,"(24.172933578491,120.67826843262)",台中市
10015,"(24.173042297363,120.6782989502)",台中市
10017,"(24.172946929932,120.67825317383)",台中市
